Riding,Candidate,Party
Newmarket—Aurora,Jason Jenkins,Ontario Libertarian Party
Newmarket—Aurora,Andrew Roblin,Green Party of Ontario
Newmarket—Aurora,Jane Twinney,Progressive Conservative Party of Ontario
Newmarket—Aurora,Bob Yaciuk,Trillium Party of Ontario
Niagara Falls,John Ringo Beam,None of the Above Party of Ontario
Niagara Falls,Clarke Bitter,Green Party of Ontario
Niagara Falls,Wayne Gates,New Democratic Party of Ontario
Niagara Falls,Bart Maves,Progressive Conservative Party of Ontario
Niagara Falls,Ralph Panucci,Ontario Libertarian Party
Niagara Falls,Lionel Tupman,Ontario Liberal Party
Niagara West—Glanbrook,Tim Hudak,Progressive Conservative Party of Ontario
Niagara West—Glanbrook,Stefanos Karatopis,Ontario Libertarian Party
Niagara West—Glanbrook,Basia Krzyzanowski,Green Party of Ontario
Niagara West—Glanbrook,Brian McCormack,New Democratic Party of Ontario
Niagara West—Glanbrook,David Mossey,Ontario Liberal Party
Niagara West—Glanbrook,Geoff Peacock,Freedom Party of Ontario
Nickel Belt,Marck Blay,Progressive Conservative Party of Ontario
Nickel Belt,Heather K. Dahlstrom,Green Party of Ontario
Nickel Belt,France Gélinas,New Democratic Party of Ontario
Nickel Belt,James Tregonning,Ontario Liberal Party
Nipissing,Patrick Clement,Independent
Nipissing,Derek Elliott,Ontario Libertarian Party
Nipissing,Vic Fedeli,Progressive Conservative Party of Ontario
Nipissing,Henri Giroux,New Democratic Party of Ontario
Nipissing,Nicole L. Peltier,Green Party of Ontario
Nipissing,Catherine Whiting,Ontario Liberal Party
Northumberland-Quinte West,Gudrun Ludorf-Weaver,Green Party of Ontario
Northumberland-Quinte West,Kira Mees,New Democratic Party of Ontario
Northumberland-Quinte West,Rob Milligan,Progressive Conservative Party of Ontario
Northumberland-Quinte West,Lou Rinaldi,Ontario Liberal Party
Oak Ridges—Markham,Karl Boelling,Ontario Libertarian Party
Oak Ridges—Markham,Helena Jaczek,Ontario Liberal Party
Oak Ridges—Markham,Miles Krauter,New Democratic Party of Ontario
Oak Ridges—Markham,Emilia Melara,Green Party of Ontario
Oak Ridges—Markham,Gennady Vilensky,Trillium Party of Ontario
Oak Ridges—Markham,Farid Wassef,Progressive Conservative Party of Ontario
Oakville,Andrew Chlobowski,Green Party of Ontario
Oakville,David Clement,Ontario Libertarian Party
Oakville,Kevin Flynn,Ontario Liberal Party
Oakville,Che Marville,New Democratic Party of Ontario
Oakville,Larry Scott,Progressive Conservative Party of Ontario
Oakville,Silvio Ursomarzo,Freedom Party of Ontario
Oshawa,Jennifer French,New Democratic Party of Ontario
Oshawa,Jerry J. Ouellette,Progressive Conservative Party of Ontario
Oshawa,Esrick Quintyn,Ontario Liberal Party
Oshawa,Becky Smit,Green Party of Ontario
Ottawa Centre,Rob Dekker,Progressive Conservative Party of Ontario
Ottawa Centre,Bruce A. Faulkner,Ontario Libertarian Party
Ottawa Centre,Jennifer McKenzie,New Democratic Party of Ontario
Ottawa Centre,Yasir Naqvi,Ontario Liberal Party
Ottawa Centre,Kevin O'Donnell,Green Party of Ontario
Ottawa Centre,Larry L. Wasslen,Communist Party of Canada (Ontario)
Ottawa—Orléans,Bob Bell,Green Party of Ontario
Ottawa—Orléans,Gerry Bourdeau,Ontario Libertarian Party
Ottawa—Orléans,Marie-France Lalonde,Ontario Liberal Party
Ottawa—Orléans,Andrew Lister,Progressive Conservative Party of Ontario
Ottawa—Orléans,Prosper M'Bemba-Meka,New Democratic Party of Ontario
Ottawa South,Jean-Serge Brisson,Ontario Libertarian Party
Ottawa South,John Fraser,Ontario Liberal Party
Ottawa South,Bronwyn Funiciello,New Democratic Party of Ontario
Ottawa South,Matt Lakatos-Hayward,Green Party of Ontario
Ottawa South,Espoir Manirambona,Communist Party of Canada (Ontario)
Ottawa South,John Redins,Party for People with Special Needs
Ottawa South,Matt Young,Progressive Conservative Party of Ontario
Ottawa—Vanier,Dave Bagler,Green Party of Ontario
Ottawa—Vanier,Martin Forget,Progressive Conservative Party of Ontario
Ottawa—Vanier,Madeleine Meilleur,Ontario Liberal Party
Ottawa—Vanier,Hervé Ngamby,New Democratic Party of Ontario
Ottawa—Vanier,Phillip Richard,Ontario Libertarian Party
Ottawa West—Nepean,Matthew Brooks,Ontario Libertarian Party
Ottawa West—Nepean,Bob Chiarelli,Ontario Liberal Party
Ottawa West—Nepean,Alex Cullen,New Democratic Party of Ontario
Ottawa West—Nepean,Randall Denley,Progressive Conservative Party of Ontario
Ottawa West—Nepean,Alex Hill,Green Party of Ontario
Oxford,Mike Farlow,Green Party of Ontario
Oxford,Ernie Hardeman,Progressive Conservative Party of Ontario
Oxford,Tim Hodges,Freedom Party of Ontario
Oxford,Daniel Moulton,Ontario Liberal Party
Oxford,Bryan Smith,New Democratic Party of Ontario
Oxford,Devin Wright,Ontario Libertarian Party
Parkdale—High Park,Cheri DiNovo,New Democratic Party of Ontario
Parkdale—High Park,Jamie Ellerton,Progressive Conservative Party of Ontario
Parkdale—High Park,Nancy Leblanc,Ontario Liberal Party
Parkdale—High Park,Melanie Motz,Freedom Party of Ontario
Parkdale—High Park,Tim Rudkins,Green Party of Ontario
Parkdale—High Park,Matthew Vezina,None of the Above Party of Ontario
Parkdale—High Park,Redmond Weissenberger,Ontario Libertarian Party
Parry Sound—Muskoka,Norm Miller,Progressive Conservative Party of Ontario
Parry Sound—Muskoka,Clyde Mobbley,New Democratic Party of Ontario
Parry Sound—Muskoka,Matt Richter,Green Party of Ontario
Parry Sound—Muskoka,Andy Stivrins,Freedom Party of Ontario
Parry Sound—Muskoka,Dan Waters,Ontario Liberal Party
Perth—Wellington,Chris Desjardins,Green Party of Ontario
Perth—Wellington,Irma DeVries,Family Coalition Party of Ontario
Perth—Wellington,Scott Marshall,Ontario Libertarian Party
Perth—Wellington,Matthew Murphy,Independent
Perth—Wellington,Randy Pettapiece,Progressive Conservative Party of Ontario
Perth—Wellington,Stewart Skinner,Ontario Liberal Party
Perth—Wellington,Robby Smink,Freedom Party of Ontario
Perth—Wellington,Romayne Smith Fullerton,New Democratic Party of Ontario
Peterborough,Gary Beamish,Green Party of Ontario
Peterborough,Gerard Faux,Pauper Party of Ontario
Peterborough,Jeff Leal,Ontario Liberal Party
Peterborough,Brian Martindale,Independent
Peterborough,Wayne Matheson,Freedom Party of Ontario
Peterborough,Andrea Quiano,Socialist Party of Ontario
Peterborough,Scott Stewart,Progressive Conservative Party of Ontario
Peterborough,Sheila Wood,New Democratic Party of Ontario
Pickering—Scarborough East,Kevin Gaudet,Progressive Conservative Party of Ontario
Pickering—Scarborough East,Eileen Higdon,New Democratic Party of Ontario
Pickering—Scarborough East,Scott Hoefig,Ontario Libertarian Party
Pickering—Scarborough East,Tracy MacCharles,Ontario Liberal Party
Pickering—Scarborough East,Anthony Navarro,Green Party of Ontario
Pickering—Scarborough East,Matt Oliver,Freedom Party of Ontario
Prince Edward—Hastings,Lindsay Forbes,Ontario Libertarian Party
Prince Edward—Hastings,Anita Payne,Green Party of Ontario
Prince Edward—Hastings,Todd Smith,Progressive Conservative Party of Ontario
Prince Edward—Hastings,Merrill Stewart,New Democratic Party of Ontario
Prince Edward—Hastings,Georgina Thompson,Ontario Liberal Party
Renfrew—Nipissing—Pembroke,Chad Beckwith-Smith,Independent
Renfrew—Nipissing—Pembroke,Rod Boileau,Ontario Liberal Party
Renfrew—Nipissing—Pembroke,Brian Dougherty,New Democratic Party of Ontario
Renfrew—Nipissing—Pembroke,Murray Reid,Ontario Provincial Confederation of Regions Party
Renfrew—Nipissing—Pembroke,Benjamin Wright,Green Party of Ontario
Renfrew—Nipissing—Pembroke,John Yakabuski,Progressive Conservative Party of Ontario
Richmond Hill,Igor Bily,Ontario Libertarian Party
Richmond Hill,Adam DeVita,New Democratic Party of Ontario
Richmond Hill,Yuri Duboisky,Ontario Moderate Party
Richmond Hill,Vic Gupta,Progressive Conservative Party of Ontario
Richmond Hill,Rachael Lave,Green Party of Ontario
Richmond Hill,Reza Moridi,Ontario Liberal Party
St. Catharines,Jim Bradley,Ontario Liberal Party
St. Catharines,Nicholas Dushko,Ontario Libertarian Party
St. Catharines,Karen Fraser,Green Party of Ontario
St. Catharines,Mat Siscoe,Progressive Conservative Party of Ontario
St. Catharines,Jennie Stevens,New Democratic Party of Ontario
St. Catharines,Dave Unrau,Freedom Party of Ontario
St. Catharines,Saleh Waziruddin,Communist Party of Canada (Ontario)
St. Paul's,Justine Deluce,Progressive Conservative Party of Ontario
St. Paul's,Eric Hoskins,Ontario Liberal Party
St. Paul's,John Kittredge,Ontario Libertarian Party
St. Paul's,Josh Rachlis,Green Party of Ontario
St. Paul's,Mike Rita,Freedom Party of Ontario
St. Paul's,Luke Savage,New Democratic Party of Ontario
Sarnia—Lambton,Bob Bailey,Progressive Conservative Party of Ontario
Sarnia—Lambton,Andrew K. Falby,Ontario Libertarian Party
Sarnia—Lambton,Anne Marie Gillis,Ontario Liberal Party
Sarnia—Lambton,Kevin Shaw,Green Party of Ontario
Sarnia—Lambton,Brian White,New Democratic Party of Ontario
Sault Ste. Marie,Kara Flannigan,Green Party of Ontario
Sault Ste. Marie,Rod Fremlin,Progressive Conservative Party of Ontario
Sault Ste. Marie,David Orazietti,Ontario Liberal Party
Sault Ste. Marie,Celia Ross,New Democratic Party of Ontario
Sault Ste. Marie,Austin Williams,Ontario Libertarian Party
Scarborough—Agincourt,Liang Chen,Progressive Conservative Party of Ontario
Scarborough—Agincourt,Kevin Clarke,The People's Political Party
Scarborough—Agincourt,Pauline Thompson,Green Party of Ontario
Scarborough—Agincourt,Alex Wilson,New Democratic Party of Ontario
Scarborough—Agincourt,Soo Wong,Ontario Liberal Party
Scarborough Centre,Carol Baker,New Democratic Party of Ontario
Scarborough Centre,Brad Duguid,Ontario Liberal Party
Scarborough Centre,David Ramalho,Progressive Conservative Party of Ontario
Scarborough Centre,Edward Yaghledjian,Green Party of Ontario
Scarborough—Guildwood,Jeffrey W. R. Bustard,Green Party of Ontario
Scarborough—Guildwood,Mitzie Hunter,Ontario Liberal Party
Scarborough—Guildwood,Richard Kerr,Ontario Libertarian Party
Scarborough—Guildwood,Ken Kirupa,Progressive Conservative Party of Ontario
Scarborough—Guildwood,Khalid Mokhtarzada,Freedom Party of Ontario
Scarborough—Guildwood,John Sawdon,Canadians' Choice Party
Scarborough—Guildwood,Shuja Syed,New Democratic Party of Ontario
Scarborough—Rouge River,Bas Balkissoon,Ontario Liberal Party
Scarborough—Rouge River,Raymond Cho,Progressive Conservative Party of Ontario
Scarborough—Rouge River,Amir Khan,None of the Above Party of Ontario
Scarborough—Rouge River,Neethan Shan,New Democratic Party of Ontario
Scarborough—Rouge River,George B. Singh,Green Party of Ontario
Scarborough Southwest,Lorenzo Berardinetti,Ontario Liberal Party
Scarborough Southwest,David Del Grande,Green Party of Ontario
Scarborough Southwest,Jean-Baptiste Foaleng,Independent
Scarborough Southwest,Nita Kang,Progressive Conservative Party of Ontario
Scarborough Southwest,Jessie Macaulay,New Democratic Party of Ontario
Scarborough Southwest,Tyler Rose,Ontario Libertarian Party
Simcoe—Grey,Jesseca Dudun,Green Party of Ontario
Simcoe—Grey,Lorne Kenney,Ontario Liberal Party
Simcoe—Grey,David Matthews,New Democratic Party of Ontario
Simcoe—Grey,Jim Wilson,Progressive Conservative Party of Ontario
Simcoe North,Garfield Dunlop,Progressive Conservative Party of Ontario
Simcoe North,Fred Larsen,Ontario Liberal Party
Simcoe North,Doris Middleton,New Democratic Party of Ontario
Simcoe North,Peter Stubbins,Green Party of Ontario
Stormont—Dundas—South Glengarry,John Earle,Ontario Liberal Party
Stormont—Dundas—South Glengarry,Elaine MacDonald,New Democratic Party of Ontario
Stormont—Dundas—South Glengarry,Jim McDonell,Progressive Conservative Party of Ontario
Stormont—Dundas—South Glengarry,Shawn McRae,Ontario Libertarian Party
Stormont—Dundas—South Glengarry,Sharron Norman,Green Party of Ontario
Sudbury,Joe Cimino,New Democratic Party of Ontario
Sudbury,Casey J. Lalonde,Green Party of Ontario
Sudbury,Andrew Olivier,Ontario Liberal Party
Sudbury,Paula Peroni,Progressive Conservative Party of Ontario
Sudbury,J. David Popescu,Independent
Sudbury,Steve Wilson,Ontario Libertarian Party
Thornhill,Gene Balfour,Ontario Libertarian Party
Thornhill,David Bergart,Green Party of Ontario
Thornhill,Erin Goodwin,Freedom Party of Ontario
Thornhill,Cindy Hackelberg,New Democratic Party of Ontario
Thornhill,Gila Martow,Progressive Conservative Party of Ontario
Thornhill,Sandra Yeung Racco,Ontario Liberal Party
Thunder Bay—Atikokan,Ed Deibel,Northern Ontario Heritage Party
Thunder Bay—Atikokan,Mary Kozorys,New Democratic Party of Ontario
Thunder Bay—Atikokan,Bill Mauro,Ontario Liberal Party
Thunder Bay—Atikokan,John Northey,Green Party of Ontario
Thunder Bay—Atikokan,Joe Talarico,Ontario Libertarian Party
Thunder Bay—Atikokan,Harold Wilson,Progressive Conservative Party of Ontario
Thunder Bay—Superior North,Andrew Foulds,New Democratic Party of Ontario
Thunder Bay—Superior North,Michael Gravelle,Ontario Liberal Party
Thunder Bay—Superior North,Tamara Johnson,Ontario Libertarian Party
Thunder Bay—Superior North,Joseph LeBlanc,Green Party of Ontario
Thunder Bay—Superior North,Derek Parks,Progressive Conservative Party of Ontario
Thunder Bay—Superior North,Paul Sloan,Northern Ontario Heritage Party
Timiskaming—Cochrane,Gino Chitaroni,Northern Ontario Heritage Party
Timiskaming—Cochrane,Cody Fraser,Green Party of Ontario
Timiskaming—Cochrane,Sébastien Goyer,Ontario Liberal Party
Timiskaming—Cochrane,Peter Politis,Progressive Conservative Party of Ontario
Timiskaming—Cochrane,John Vanthof,New Democratic Party of Ontario
Timmins—James Bay,Gilles Bisson,New Democratic Party of Ontario
Timmins—James Bay,Steve Black,Progressive Conservative Party of Ontario
Timmins—James Bay,Sylvie Fontaine,Ontario Liberal Party
Timmins—James Bay,Bozena Hrycyna,Green Party of Ontario
Timmins—James Bay,Fauzia Sadiq,Ontario Provincial Confederation of Regions Party
Toronto Centre,Martin Abell,Progressive Conservative Party of Ontario
Toronto Centre,Lada Alekseychuk,Party for People with Special Needs
Toronto Centre,Mark Daye,Green Party of Ontario
Toronto Centre,Judi Falardeau,Ontario Libertarian Party
Toronto Centre,Drew Garvie,Communist Party of Canada (Ontario)
Toronto Centre,Chris Goodwin,Freedom Party of Ontario
Toronto Centre,Glen Murray,Ontario Liberal Party
Toronto Centre,Robin Nurse,The People's Political Party
Toronto Centre,Harvey Rotenberg,Vegan Environmental Party
Toronto Centre,Kate Sellar,New Democratic Party of Ontario
Toronto Centre,Bahman Yazdanfar,Canadians' Choice Party
Toronto—Danforth,Thomas Armstrong,Ontario Libertarian Party
Toronto—Danforth,Ali Azaroghli,The People's Political Party
Toronto—Danforth,Simon Luisi,Vegan Environmental Party
Toronto—Danforth,Rob Newman,Ontario Liberal Party
Toronto—Danforth,Tristan Parlette,Freedom Party of Ontario
Toronto—Danforth,Rachel Power,Green Party of Ontario
Toronto—Danforth,John Richardson,Canadians' Choice Party
Toronto—Danforth,Elizabeth Rowley,Communist Party of Canada (Ontario)
Toronto—Danforth,Naomi Solomon,Progressive Conservative Party of Ontario
Toronto—Danforth,Peter Tabuns,New Democratic Party of Ontario
Trinity—Spadina,Han Dong,Ontario Liberal Party
Trinity—Spadina,Andrew Echevarria,Ontario Libertarian Party
Trinity—Spadina,Paul Figueiras,Vegan Environmental Party
Trinity—Spadina,Tim Grant,Green Party of Ontario
Trinity—Spadina,Dan King,Party for People with Special Needs
Trinity—Spadina,Rosario Marchese,New Democratic Party of Ontario
Trinity—Spadina,Roberta Scott,Progressive Conservative Party of Ontario
Vaughan,Marco Coletta,New Democratic Party of Ontario
Vaughan,Steven Del Duca,Ontario Liberal Party
Vaughan,Paolo Fabrizio,Ontario Libertarian Party
Vaughan,Peter Meffe,Progressive Conservative Party of Ontario
Vaughan,Matthew Pankhurst,Green Party of Ontario
Welland,Frank Campion,Progressive Conservative Party of Ontario
Welland,Donna Cridland,Green Party of Ontario
Welland,Cindy Forster,New Democratic Party of Ontario
Welland,Benoit Mercier,Ontario Liberal Party
Welland,Andrea J. Murik,Ontario Libertarian Party
Wellington—Halton Hills,Ted Arnott,Progressive Conservative Party of Ontario
Wellington—Halton Hills,Michael Carlucci,New Democratic Party of Ontario
Wellington—Halton Hills,Jason Cousineau,Ontario Libertarian Party
Wellington—Halton Hills,Dave Rodgers,Green Party of Ontario
Wellington—Halton Hills,Mitch Sproule,Freedom Party of Ontario
Wellington—Halton Hills,Dan Zister,Ontario Liberal Party
Whitby—Oshawa,Christine Elliott,Progressive Conservative Party of Ontario
Whitby—Oshawa,Ryan Kelly,New Democratic Party of Ontario
Whitby—Oshawa,Ajay Krishnan,Ontario Liberal Party
Whitby—Oshawa,Stacey Leadbetter,Green Party of Ontario
Whitby—Oshawa,Douglas Thom,Freedom Party of Ontario
Willowdale,Alexander Brown,New Democratic Party of Ontario
Willowdale,Michael Ceci,Progressive Conservative Party of Ontario
Willowdale,Teresa Pun,Green Party of Ontario
Willowdale,David Zimmer,Ontario Liberal Party
Windsor—Tecumseh,Jason Dupuis,Ontario Liberal Party
Windsor—Tecumseh,Percy Hatfield,New Democratic Party of Ontario
Windsor—Tecumseh,Timothy Joel Marshall,Ontario Libertarian Party
Windsor—Tecumseh,Adam Wright,Green Party of Ontario
Windsor—Tecumseh,Brandon Wright,Progressive Conservative Party of Ontario
Windsor West,Helmi Charif,Independent
Windsor West,Chad Durocher,Green Party of Ontario
Windsor West,Lisa Gretzky,New Democratic Party of Ontario
Windsor West,Henry Lau,Progressive Conservative Party of Ontario
Windsor West,Teresa Piruzza,Ontario Liberal Party
York Centre,Josh Borenstein,Green Party of Ontario
York Centre,Laurence Cherniak,Freedom Party of Ontario
York Centre,John Fagan,New Democratic Party of Ontario
York Centre,Monte Kwinter,Ontario Liberal Party
York Centre,Avi Yufest,Progressive Conservative Party of Ontario
York—Simcoe,Laura Bowman,New Democratic Party of Ontario
York—Simcoe,Loralea Carruthers,Ontario Liberal Party
York—Simcoe,Peter Elgie,Green Party of Ontario
York—Simcoe,Julia Munro,Progressive Conservative Party of Ontario
York—Simcoe,Craig Wallace,Ontario Libertarian Party
York South—Weston,Laura Albanese,Ontario Liberal Party
York South—Weston,Eric Compton,Freedom Party of Ontario
York South—Weston,Paul Ferreira,New Democratic Party of Ontario
York South—Weston,Andrew Ffrench,Progressive Conservative Party of Ontario
York South—Weston,Jessica Higgins,Green Party of Ontario
York South—Weston,Abi Issa,Independent
York West,Kayla Baptiste,Freedom Party of Ontario
York West,Keith Jarrett,Green Party of Ontario
York West,Karlene Nation,Progressive Conservative Party of Ontario
York West,Tom Rakocevic,New Democratic Party of Ontario
York West,Wally Schwauss,Independent
York West,Mario Sergio,Ontario Liberal Party
